chr1	pos1	dir1	chr2	pos2	dir2	tumour_copynumber1	tumour_copynumber2	multiplicity1	multiplicity2
chr4	86189982	+	chr4	86591165	-	1	2	1	1
chr4	86683216	-	chr11	84429510	+	2	3	1	1
chr4	91489585	+	chr4	91601366	-	2	3	1	1
chr4	98980012	+	chr4	99325090	-	2	2	1	1
chr4	106748603	-	chr13	31124761	+	5	2	2	1
chr4	116019985	-	chr4	185807135	-	2	2	1	1
chr4	116031107	+	chr4	170141240	-	2	2	1	1
chr4	145708741	-	chr4	170142189	+	2	2	1	1
chr4	155073824	-	chr4	174464545	-	2	2	1	1
chr4	155790667	+	chr4	182835892	-	3	3	1	1
chr5	65912807	-	chr5	65921088	+	2	2	1	1
chr5	67083283	+	chr5	67183759	-	2	2	2	2
chr6	5201541	+	chr6	5322482	-	5	5	1	1
chr6	5457798	+	chr6	5458665	-	5	5	1	2
chr6	7184706	+	chr6	7214655	-	5	5	2	1
chr6	35367348	+	chr6	35377564	+	5	3	1	1
chr6	36955512	-	chr6	169385532	-	3	4	1	1
chr6	36992179	+	chr6	37002623	+	3	1	1	1
chr6	38359994	-	chr16	57739061	-	7	6	1	1
chr6	38362362	-	chr16	59856091	+	7	6	1	1
chr6	38379988	+	chr6	38385218	-	7	7	1	1
chr6	38588591	+	chr6	42765389	-	7	6	6	5
chr6	43395371	+	chr6	43419100	-	6	6	1	2
chr6	44376011	+	chr17	35089193	+	5	6	3	4
chr6	53778505	-	chr19	39400609	+	1	10	1	1
chr6	53778618	+	chr6	53785599	+	2	1	1	1
chr6	63657132	+	chr6	63662471	-	2	2	1	1
chr6	119253165	+	chr6	119306863	-	2	2	1	1
chr6	120010234	+	chr6	120773738	-	2	2	1	1
chr6	154836654	-	chr8	41505941	+	4	4	1	1
chr6	155881340	+	chr13	103962405	-	4	4	2	2
chr6	156309576	-	chr13	84030477	+	4	4	2	3
chr6	156892147	+	chr6	156912481	-	4	4	1	1
chr6	158644617	+	chr17	8221808	+	4	2	1	1
chr7	987031	+	chr7	1033808	-	3	3	1	1
chr7	8016184	+	chr7	8068243	-	3	3	1	1
chr7	11929600	-	chr7	12250623	+	3	4	2	2
chr7	27886343	+	chr7	28153333	-	3	3	1	1
chr7	28850643	+	chr7	28855088	+	3	2	1	1
chr7	32847097	+	chr7	33002815	-	2	2	1	1
chr7	39982130	+	chr7	40218330	-	2	2	1	1
chr7	91963100	+	chr7	91993198	-	5	5	2	2
chr7	92002322	+	chr7	92015390	-	5	5	2	2
chr7	105043530	+	chr7	105181069	-	5	4	2	2
chr7	105082081	+	chr7	105188336	-	5	2	2	1
chr7	105272108	+	chr7	105708009	-	1	5	1	2
chr7	133384922	+	chr7	135281370	-	3	5	1	1
chr7	135278362	-	chr7	135280724	+	2	5	1	2
chr7	140905946	+	chr7	141117960	-	5	5	1	1
chr7	151420520	+	chr7	151462164	-	5	5	5	5
chr8	39631659	-	chr8	39650154	-	1	4	1	1
chr8	41490092	-	chr8	41494084	-	4	4	2	1
chr8	60452070	+	chr8	60510373	-	3	3	1	2
chr8	65650657	+	chr8	65773767	-	3	3	1	1
chr8	83110055	-	chr8	134069699	-	4	6	1	1
chr8	94628579	+	chr8	94871077	-	3	3	1	1
chr8	99885017	-	chr8	115471083	-	10	8	8	6
chr8	103584982	-	chr8	120375451	-	3	6	2	3
chr8	104877568	+	chr8	109510229	+	6	6	1	1
chr8	106701268	-	chr8	112835553	+	6	7	3	3
chr8	106723994	+	chr8	112745196	+	6	7	1	2
chr8	106960454	-	chr8	110654629	-	6	6	2	2
chr8	112449278	+	chr8	135414040	+	6	4	2	1
chr8	112680353	-	chr8	115071956	-	6	6	2	2
chr8	112763277	-	chr8	120045846	+	6	3	3	1
chr8	112801620	-	chr8	121100710	+	10	6	4	3
chr8	115743211	+	chr19	4642367	-	8	3	2	1
chr8	116714990	+	chr8	116842359	-	8	8	2	2
chr8	117905461	+	chr8	117974848	-	8	8	2	2
chr8	118898025	+	chr8	119101605	-	8	8	2	2
chr8	125359358	-	chr8	131104084	-	5	6	3	2
chr8	125846281	-	chr8	125848524	-	6	12	4	5
chr8	127960674	+	chr8	128086710	+	6	5	1	1
chr8	136230067	-	chr8	144030749	-	4	6	2	2
chr8	136659108	-	chr8	143223365	-	6	6	3	3
chr8	136776128	+	chr8	144893770	-	8	4	5	3
chr8	140549799	+	chr8	140887852	-	5	5	1	1
chr8	140565444	+	chr8	140613093	-	5	2	2	1
chr8	140647711	+	chr8	140891819	-	5	5	2	2
chr9	21621678	+	chr9	21738138	-	2	2	1	1
chr9	33941415	+	chr9	34038292	-	2	4	1	1
chr9	34038390	-	chr9	34252652	-	2	2	1	1
chr9	112049248	+	chr9	112264721	-	2	2	1	1
chr9	123447627	+	chr9	123840048	-	2	2	1	2
chr9	124355068	-	chr9	124362362	-	2	4	1	1
chr9	137454422	+	chr9	137584211	-	3	3	1	1
chr10	41831024	+	chr17	42912967	+	2	2	1	1
chr10	87042107	-	chr10	87057709	+	4	4	2	2
chr10	89802570	+	chr19	30135219	-	4	8	2	1
chr11	848741	-	chr11	1047850	+	2	2	1	1
chr11	1329874	+	chr11	1373538	-	2	2	1	1
chr11	3484344	-	chr11	67856182	+	2	3	1	1
chr11	47558755	-	chr16	17201377	+	4	4	2	2
chr11	48499361	+	chr11	59761085	-	4	3	2	2
chr11	57796849	+	chr11	58647516	-	6	2	1	1
chr11	58813339	+	chr11	72009621	-	2	3	1	1
chr11	67149641	+	chr11	67191117	-	3	3	1	1
chr11	68934377	+	chr11	69127689	-	3	3	1	1
chr11	72847169	+	chr11	73109000	-	3	3	1	1
chr11	77668589	+	chr11	77701157	-	3	3	1	1
chr12	45805042	+	chr12	45992643	-	3	3	2	2
chr12	111617773	-	chr12	111619447	+	3	3	1	1
chr12	119630834	-	chr12	119675931	+	3	3	2	2
chr12	122494129	+	chr12	122497247	-	3	3	1	1
chr13	29871064	-	chr13	29921684	-	2	5	2	3
chr13	29880452	+	chr13	29913519	+	2	5	1	3
chr13	31134413	+	chr13	31394162	-	2	6	1	1
chr13	33704604	+	chr19	29192573	+	4	8	2	3
chr13	42100502	-	chr13	42441256	+	2	2	1	1
chr13	46722960	+	chr13	46762927	-	2	2	2	2
chr13	81438826	+	chr13	81442161	-	4	4	1	1
chr13	111259094	+	chr13	111270756	-	3	3	1	1
chr14	20825030	-	chr14	21147471	+	3	3	1	1
chr14	29712817	+	chr14	69350451	-	3	3	1	1
chr14	44986690	+	chr14	45091610	-	2	2	1	1
chr14	51678997	+	chr14	51692354	-	2	2	1	1
chr14	56148440	+	chr17	34721637	-	2	6	1	1
chr14	90906852	+	chr14	91096650	-	3	3	1	1
chr14	97385554	-	chr14	97400112	+	3	3	2	2
chr14	103182632	-	chr14	103344211	+	4	3	2	1
chr15	22630594	+	chr15	22915359	-	3	3	1	1
chr15	44337098	+	chr15	44389271	-	3	3	1	1
chr15	57009650	+	chr15	57018080	-	3	2	1	1
chr15	58634325	-	chr15	58646515	+	2	2	1	1
chr15	58745119	+	chr15	58758830	-	2	2	1	1
chr15	98891721	+	chr15	99119237	-	2	2	1	1
chr16	8812079	+	chr16	8837122	-	2	2	1	1
chr16	8863409	+	chr16	8920182	-	2	2	1	1
chr16	15479472	-	chr16	25890558	-	2	6	2	4
chr16	30449480	+	chr16	30611142	-	4	4	1	1
chr16	51637883	+	chr16	51641189	-	5	5	2	2
chr16	52312644	+	chr16	52498481	-	5	5	2	2
chr16	69327141	+	chr16	69617046	-	5	5	3	3
chr16	74318666	+	chr16	74401809	-	6	5	3	2
chr16	89361924	+	chr16	89408121	-	5	5	1	2
chr16	89369345	+	chr16	89416304	-	5	5	2	2
chr17	1386823	+	chr17	1413708	-	2	2	1	1
chr17	27892998	+	chr17	28032470	-	8	8	1	1
chr17	28148091	+	chr17	28149802	+	8	8	1	1
chr17	28176474	-	chr17	28179472	-	8	8	2	2
chr17	29174141	-	chr17	29175992	-	8	6	1	1
chr17	32312030	+	chr17	32924371	-	6	6	2	3
chr17	35766764	+	chr17	41026896	-	2	4	2	3
chr17	42751632	-	chr17	76604599	+	1	3	1	2
chr17	47119822	-	chr17	58245571	+	2	2	1	1
chr17	57746909	-	chr17	77114710	-	2	5	1	2
chr17	64399384	-	chr17	64687339	-	3	3	1	1
chr17	64862602	+	chr19	29734230	-	3	8	1	1
chr17	66143642	+	chr17	67164771	-	7	7	5	5
chr17	68061830	+	chr17	68083713	+	5	3	3	1
chr17	68080332	-	chr17	68082390	-	5	3	2	1
chr17	68087092	-	chr17	68096135	-	5	3	3	2
chr17	68101708	+	chr19	28450974	-	5	8	3	6
chr17	72440328	+	chr17	72546478	-	5	5	2	2
chr17	72449917	+	chr17	72506012	-	5	5	3	3
chr17	72462685	+	chr17	72493545	-	5	5	3	3
chr17	72495501	+	chr17	72518626	-	5	5	3	2
chr17	72522081	+	chr17	72552557	-	5	5	2	2
chr17	72533938	+	chr17	72694128	-	5	7	3	1
chr17	72537683	-	chr19	38725774	-	5	9	3	3
chr17	72675346	-	chr17	76646951	+	5	3	1	1
chr17	75764932	+	chr17	78195048	-	5	5	1	1
chr17	76535956	-	chr17	76604805	+	5	3	2	2
chr17	82443766	+	chr17	82527182	-	2	2	1	2
chr18	1663261	+	chr18	1782217	-	4	3	1	1
chr18	80007599	+	chr18	80097645	-	2	2	1	1
chr19	5181306	+	chr19	5182734	-	2	3	2	1
chr19	9437219	+	chr19	9583957	-	3	3	1	1
chr19	12265020	+	chr19	12314218	-	3	3	2	2
chr19	12984933	+	chr19	13057759	-	3	3	2	2
chr19	28696279	-	chr19	29623878	-	8	7	2	1
chr19	28831543	+	chr19	34932396	-	8	5	3	2
chr19	29778307	-	chr19	29780175	-	7	8	1	1
chr19	38156039	+	chr19	56793043	+	9	2	1	1
chr19	38220956	+	chr19	39690563	-	9	10	1	1
chr19	52922240	-	chr19	52971080	+	2	2	1	1
chr19	55298804	-	chr19	55504727	+	3	3	2	1
chr19	57667213	+	chr19	57854075	-	2	2	1	1
chr20	14009494	-	chr20	14017721	+	3	3	1	1
chr20	14747626	+	chr20	15035760	-	3	3	1	1
chr21	39215423	+	chr21	39235196	+	2	2	1	1
chr21	39215677	+	chr21	39235386	+	2	2	1	1
chr22	22048500	-	chr22	23189275	+	5	4	3	2
chr22	22374963	+	chr22	22426815	-	6	6	3	2
chr22	28207311	+	chr22	28247024	-	5	5	3	3
chr22	28827249	+	chr22	29071286	-	5	5	1	2
chr22	35889270	+	chr22	36055476	-	2	2	2	2
chr22	37600111	+	chr22	37964067	-	2	2	2	1
chr22	38550840	+	chr22	38633563	-	2	2	1	1
